id,name,element,rarity,emoji,baseHP,baseATK,baseDEF,baseSPD,skillName,skillCost,skillMultiplier,evolutionLevel,evolutionTarget,leaderSkill,isBoss,silhouette,keyFeatures,faceType,bodyForm,designNote,nickname,palette,evolutionForm,vibe
monster_011,冰鳞兽,water,2,🐧,145,30,35,10,寒冰冲击,8,2.3,18,monster_012,,false,水母灵,水母+水滴铃铛轮廓,大圆瞳|半透明伞,飘浮伞状|触手垂,冰蓝透明,叮铃|水水,冰蓝+半透白,幼体→成体,内向|容易害羞|怕吵
monster_012,冰甲龙,water,3,🐉,200,45,55,14,极寒吐息,10,2.8,,,,false,海牛灵,海牛+波浪冠/水滴鳍,温柔大眼|水滴泪痣,海牛横式|鳍展开,海蓝温润,牛牛|浪花,海蓝+珠光白,幼体→成体,温柔大姐姐|爱照顾人|有点唠叨
monster_013,岩甲龙,earth,3,🦕,170,42,50,8,岩石崩落,9,2.5,,,,false,穿山甲盾,穿山甲+盾球轮廓,小豆眼|甲鳞皱眉,卷球防御|甲耸,土黄坚实,团子|甲甲,土黄+沙褐,幼体→成体,胆小|爱抱头|但护友
monster_014,山岭龙,earth,4,⛰️,230,58,70,10,大地之力,11,3.0,,,,false,山岭龟,陆龟+石壳头盔/苔藓块,老沉龟眼|苔藓眉,巨型重装|苔绿冠,深褐古朴,山爷|岩柱,深褐+苔藓绿,成体,老顽固|说话慢|像石碑
monster_015,风羽鹰,wind,2,🦅,95,36,18,28,风刃切割,7,2.4,18,monster_016,,false,鼯鼠灵,鼯鼠+叶尾/翼膜,警觉大眼|叶耳,滑翔翼展|叶尾平衡,嫩绿轻盈,飞飞|滑滑,嫩绿+银灰,幼体→成体,好奇|爱冒险|怕高
monster_016,苍穹鹰,wind,3,🌪️,130,52,25,38,风暴降临,10,3.2,,,,false,鹤雏灵,鹤雏+蓝色面罩/羽扇翼,鹤眼锐利|蓝冠,单足立姿|翅半展,青蓝高雅,鹤仙|蓝翎,青蓝+银白,成体,高冷|挑剔|审美怪
monster_017,暗影猫,dark,3,🐱,85,50,12,30,暗影利爪,9,3.0,,,,false,蝾螈暗灵,蝾螈+软鳃/半眯眼,半眯竖瞳|鳃裂,匍匐两栖|尾卷,紫黑黏滑,滑滑|阿鳅,紫黑+暗紫,幼体→成体,阴阳怪气|爱吐槽|潜水
monster_018,幽冥虎,dark,4,🐯,120,70,18,40,暗夜终结,13,4.0,,,,false,果蝠灵,果蝠+圆耳/披风翼,圆瞳大眼|耳大如扇,倒挂双翼|披风状,暗紫神秘,蝠爷|大耳,暗紫+虹光紫,成体,夜行|神秘|白天犯困
monster_019,圣光雀,light,3,🐦,115,52,22,20,圣光射线,10,3.2,,,,false,蜂鸟灵,蜂鸟+花瓣翼,小而圆眼|尖喙,悬停振翅|花翼,彩光轻灵,蜂蜂|花妹,彩光+蜜黄,幼体→成体,多动症|停不下来|话密
monster_020,天使兽,light,4,👼,155,68,32,28,天堂之光,14,4.5,,,,false,海天使,海天使/海蛞蝓+软裙鳍,闭眼微笑|羽状鳃,飘浮软体|裙鳍开,粉白圣洁,安安|小天使,粉白+珍珠光,成体,治愈系|话少|但一句顶一句
monster_021,暗夜蝠,dark,2,🦇,80,38,12,28,暗影突袭,7,2.4,18,monster_022,,false,蝙蝠幼体,皮翼|小尖耳|夜眼|暗紫绒毛,豆豆大眼|夜视黄瞳,倒挂双翼|披风状,暗紫/夜雾黑色调,倒挂小子/夜翼,暗紫+夜雾黑,幼体→成体,夜猫子|怕光|但敢冲
monster_022,暗翼魔,dark,3,🧛,110,55,18,38,暗翼斩,10,3.2,,,,false,吸血魔化,尖耳|血眸|披风翼|獠牙,血瞳竖瞳|苍白面,站立斗篷|翼展,血红/暗紫色调,血翼/血爵,血红+暗紫,成体,高冷|嗜血|话少|优雅
monster_023,毒蛛王,dark,3,🕷️,130,55,20,12,毒液射击,8,2.8,,,,false,剧毒蛛王,八足|毒囊腹|紫黑绒|复眼,八眼复瞳|黑亮,匍匐八足|毒丝吐,紫黑/毒绿色调,蛛哥/八足爷,紫黑+毒绿,成体,阴险|爱算计|但守规矩
monster_024,剧毒蛛后,dark,4,🕸️,180,75,28,16,剧毒蛛网,12,3.8,,,,false,蛛后,六眼|毒丝王座|金纹腹|王冠,六眼菱瞳|金冠额,王座匍匐|丝垂,紫黑/暗金色调,蛛后/毒丝姬,紫黑+暗金,成体,女王|爱炫|说话带刺
monster_025,雷翼龙,thunder,2,🐉,105,42,16,26,雷电冲击,8,2.6,18,monster_026,,false,雷翼幼龙,电翼|雷鬃|小龙角|闪鳞,电眼圆瞳|雷鬃竖,立龙展翅|电弧绕,蓝紫/电光白色调,电电/小雷,蓝紫+电光白,幼体→成体,天真|爱显摆|对电过敏
monster_026,雷鸣龙,thunder,3,⚡,145,62,24,36,雷霆万钧,12,3.5,,,,false,雷鸣龙,龙角|雷鬃|雷柱贯|电鳞,雷柱瞳|电纹面,两足立龙|鬃飞扬,金黑/闪电白色调,雷爷/轰天,金黑+闪电白,成体,霸气|护短|嗓门如雷
monster_027,光辉兽,light,2,🦄,115,45,20,20,光辉射击,9,2.8,18,monster_028,,false,独角幼兽,独角|星鬃|珠光毛|小翼,星眸|鼻吻短,四足小兽|角亮,粉白/虹彩色调,小耀/星仔,粉白+虹彩,幼体→成体,傲娇|爱照镜子|嘴甜心软
monster_028,圣光龙,light,3,🌟,155,65,30,28,圣光裁决,12,3.6,,,,false,圣光龙,光冠|龙须|多尾|圣鳞,光冠金瞳|圣纹面,立龙展翅|尾扇,金白/圣光黄色调,圣君/光爷,金白+圣光黄,成体,正义感爆棚|话多|鸡汤王
monster_029,雷光兽,thunder,3,🦁,140,60,22,24,雷光斩,10,3.2,,,,false,雷鬃狮兽,雷鬃|金电纹|雷瞳|四爪,雷瞳竖|鬃炸,四足奔兽|鬃飞扬,金黑/电光白色调,雷哥/阿雷,金黑+电光白,成体,急性子|暴脾气|护短
monster_030,雷霆圣龙,thunder,4,👑,195,80,32,30,圣雷灭世,14,4.2,,,,false,雷霆圣龙,圣雷冠|雷鬃|龙翼|圣鳞,金瞳雷纹|王冠,立龙展翅|尾扇,金白/雷蓝色调,雷君/圣帝,金白+雷蓝,成体,威严|少言|但说一不二
monster_031,光明天使,light,3,🕊️,130,58,26,32,天使之光,11,3.4,,,,false,六翼天使,六翼|光环|圣袍|圣心,闭眼温柔|光环亮,飘浮立姿|翼展,白/金/珠光色调,安安/光姐,白+金+珠光,成体,治愈系|话少|但一句顶一句
monster_032,神圣巨龙,light,4,🏛️,175,75,35,38,神光净化,15,4.5,,,,false,神圣巨龙,神殿冠|多尾|圣鳞|金纹,金瞳圣纹|王冠额,立龙展翅|尾扇,金白/神殿金色调,圣帝/光祖,金白+神殿金,成体,古老|智慧|话慢|但字字珠玑
monster_033,冰晶兽,ice,2,💎,120,32,28,16,冰晶冲击,7,2.3,18,monster_034,,false,冰晶幼兽,冰晶甲|水晶角|冷瞳|冰锥尾,冰晶眼|冰凌眉,四足冰兽|甲耸,冰蓝/晶白色调,冰仔/晶晶,冰蓝+晶白,幼体→成体,冷静|爱独处|怕吵
monster_034,冰晶龙,ice,3,🔷,165,48,40,22,冰晶风暴,10,2.9,,,,false,冰晶龙,冰冠|龙须|冰晶翼|霜鳞,冰晶瞳|霜纹面,立龙展翅|冰晶绕,冰蓝/霜白色调,冰君/晶爷,冰蓝+霜白,成体,高冷|挑剔|审美怪
monster_035,霜狼,ice,2,🐺,95,42,18,22,霜咬,8,2.5,18,monster_036,,false,霜狼幼体,霜毛|冰爪|霜尾|冰瞳,冰蓝竖瞳|霜鼻吻,四足狼|毛炸,霜蓝/银白色调,霜仔/阿霜,霜蓝+银白,幼体→成体,机警|忠诚|爱抱团
monster_036,寒霜狼王,ice,3,❄️,130,62,26,30,寒霜撕裂,11,3.3,,,,false,寒霜狼王,霜冠|冰鬃|王纹|冰晶尾,冰蓝竖瞳|王额纹,四足奔兽|鬃飞扬,冰蓝/雪白色调,霜王/狼主,冰蓝+雪白,成体,王者|沉默|护群
monster_037,雪狐,ice,2,🦊,85,38,14,30,雪遁,6,2.2,18,monster_038,,false,雪狐幼体,雪白毛|大尾|蓝眼|小耳,蓝眸大眼|粉鼻,四足狐|尾蓬,雪白/冰蓝色调,雪仔/小雪,雪白+冰蓝,幼体→成体,机灵|爱玩|话多
monster_038,冰霜妖狐,ice,3,🧊,115,55,20,42,冰霜幻舞,9,3.1,,,,false,冰霜妖狐,九尾|冰冠|霜纹|蓝眸,蓝眸竖瞳|妖纹面,坐立九尾|尾扇,冰蓝/霜紫色调,妖狐/霜姬,冰蓝+霜紫,成体,妖媚|神秘|爱整蛊
monster_039,寒龟,ice,2,🐧,150,25,35,10,冰甲护体,7,2.0,20,monster_040,,false,寒龟,冰壳|小角|冰爪|冷瞳,冷眼龟|硬壳腮,低重心四足|壳耸,冰蓝/灰蓝色调,冰仔/龟冷,冰蓝+灰蓝,幼体→成体,慢性子|佛系|怕热
monster_040,极地冰龟,ice,3,🧊,210,38,52,14,极寒护盾,10,2.5,,,,false,极地冰龟,冰壳冠|冰刺|苔藓|王纹,老沉龟眼|冰凌眉,巨型重装|甲耸,深冰蓝/苔藓绿色调,冰爷/冻柱,深冰蓝+苔藓绿,成体,老顽固|话慢|像冰雕
monster_041,冰龙,ice,3,🐉,155,58,30,20,冰龙吐息,10,3.0,,,,false,冰龙,冰角|冰须|冰翼|霜鳞,冰蓝竖瞳|霜纹面,立龙展翅|尾扇,冰蓝/霜白色调,冰龙/霜君,冰蓝+霜白,成体,冷峻|少言|但重情
monster_042,霜翼龙,ice,4,🌨️,200,75,40,26,暴风雪降临,13,3.8,,,,false,霜翼龙,霜冠|龙翼|冰晶|王纹,冰蓝星瞳|王冠,立龙展翅|翼展,冰蓝/雪白色调,霜翼/雪帝,冰蓝+雪白,成体,孤高|独行|护弱
monster_043,虚影兽,void,2,👤,100,40,16,24,虚影冲击,8,2.5,18,monster_044,,false,虚影幼体,半透体|虚手|虚尾|紫气,虚影眼|紫烟面,飘浮虚体|虚手伸,暗紫/虚白色调,小影/虚虚,暗紫+虚白,幼体→成体,神秘|怕人|但黏友
monster_044,虚影魔,void,3,👻,140,58,24,32,虚空撕裂,11,3.2,,,,false,虚影魔,虚冠|虚翼|虚空纹|紫雾,虚空竖瞳|虚纹面,飘浮立姿|虚翼展,暗紫/虚白色调,影魔/虚主,暗紫+虚白,成体,阴阳怪气|爱吐槽|独行
monster_045,噬魂虫,void,2,🪱,80,36,12,32,灵魂吸收,7,2.4,18,monster_046,,false,噬魂虫,虫体|虚足|虚丝|魂眼,魂眼|丝痕面,蠕虫匍匐|丝吐,暗紫/魂绿色调,虫虫/噬噬,暗紫+魂绿,幼体→成体,胆小|爱藏|但挑食
monster_046,噬魂蛾,void,3,🦋,110,52,18,44,虚空幻翼,10,3.3,,,,false,噬魂蛾,虚翼|触角|魂粉|紫雾,触角眼|魂粉面,飘浮展翅|粉撒,暗紫/魂粉色调,蛾姐/魂姬,暗紫+魂粉,成体,夜行|话少|爱月光
monster_047,虚空幼龙,void,3,🐉,150,55,30,20,虚空吐息,10,3.0,,,,false,虚空幼龙,虚角|虚翼|龙须|虚鳞,虚空瞳|虚纹面,立龙展翅|虚绕,暗紫/虚白色调,小虚/虚龙,暗紫+虚白,成体,傲娇|独处|但护友
monster_048,虚空巨龙,void,4,🌑,200,72,40,26,虚空灭世,14,4.0,,,,false,虚空巨龙,虚空冠|多尾|虚鳞|王纹,虚空金瞳|王冠额,立龙展翅|尾扇,暗紫/虚金色调,虚帝/暗祖,暗紫+虚金,成体,古老|独断|但公正
monster_049,时空狼,temporal,2,🐺,110,38,22,22,时空撕裂,8,2.4,18,monster_050,,false,时空狼幼体,时纹|空纹|星尾|蓝眸,蓝星竖瞳|时纹面,四足狼|尾闪,时空蓝/银白色调,时空/小星,时空蓝+银白,幼体→成体,机灵|爱跑|坐不住
monster_050,时空狼王,temporal,3,🌟,155,55,32,30,时空裂斩,11,3.1,,,,false,时空狼王,时冠|空鬃|王纹|时空尾,时蓝竖瞳|王额纹,四足奔兽|鬃闪,时空蓝/星白色调,时君/空主,时空蓝+星白,成体,王者|护群|话少
monster_051,时空幼龙,temporal,3,🐉,145,52,28,18,时空吐息,10,2.9,,,,false,时空幼龙,时角|空翼|龙须|时空鳞,时蓝圆瞳|时空纹面,立龙展翅|纹闪,时空蓝/银白色调,小空/时龙,时空蓝+银白,成体,好奇|爱闯|怕错
monster_052,时空巨龙,temporal,4,⏳,195,68,38,24,时空湮灭,13,3.6,,,,false,时空巨龙,时空冠|多尾|时空鳞|王纹,时空金瞳|王冠额,立龙展翅|尾闪,时空蓝/星金色调,时帝/空祖,时空蓝+星金,成体,古老|智慧|话慢
monster_053,时空狐,temporal,2,🦊,88,40,14,32,时空穿梭,7,2.3,18,monster_054,,false,时空狐幼体,时纹|空纹|大尾|星眸,星眸大眼|粉鼻,四足狐|尾闪,时空蓝/星粉色调,时仔/小狐,时空蓝+星粉,幼体→成体,机灵|爱玩|话多
monster_054,时空妖狐,temporal,3,🔮,120,58,20,44,时空幻舞,10,3.2,,,,false,时空妖狐,九尾|时冠|空纹|星眸,时蓝竖瞳|妖纹面,坐立九尾|尾闪,时空蓝/星紫色调,妖狐/时空姬,时空蓝+星紫,成体,妖媚|神秘|爱算
monster_055,星耀狼,star,2,🐺,115,40,24,24,星光撕裂,8,2.5,18,monster_056,,false,星耀狼幼体,星纹|耀纹|星尾|金眸,金星竖瞳|星纹面,四足狼|尾闪,星金/银白色调,星仔/小耀,星金+银白,幼体→成体,机灵|爱跑|话多
monster_056,星耀狼王,star,3,🌟,160,58,34,32,星耀裂斩,11,3.2,,,,false,星耀狼王,星冠|耀鬃|王纹|星尾,金星竖瞳|王额纹,四足奔兽|鬃闪,星金/银白色调,星王/耀主,星金+银白,成体,王者|护群|威严
monster_057,星耀幼龙,star,3,🐉,150,55,30,20,星耀吐息,10,3.0,,,,false,星耀幼龙,星角|耀翼|龙须|星鳞,金星圆瞳|星纹面,立龙展翅|鳞闪,星金/银白色调,小星/耀龙,星金+银白,成体,天真|爱炫|对光过敏
monster_058,星耀巨龙,star,4,✨,205,72,42,26,星耀灭世,14,3.8,,,,false,星耀巨龙,星冠|多尾|星鳞|王纹,金星金瞳|王冠额,立龙展翅|尾闪,星金/虹彩色调,星帝/耀祖,星金+虹彩,成体,古老|智慧|话少
monster_059,星耀狐,star,2,🦊,90,42,16,34,星耀穿梭,7,2.4,18,monster_060,,false,星耀狐幼体,星纹|耀纹|大尾|星眸,星眸大眼|粉鼻,四足狐|尾闪,星金/粉白色调,小星/小耀,星金+粉白,幼体→成体,机灵|爱玩|话多
monster_060,星耀妖狐,star,3,🔮,125,60,22,46,星耀幻舞,10,3.3,,,,false,星耀妖狐,九尾|星冠|耀纹|星眸,金星竖瞳|妖纹面,坐立九尾|尾闪,星金/星紫色调,妖狐/星姬,星金+星紫,成体,妖媚|神秘|爱整蛊
monster_061,混沌狼,chaos,2,🐺,118,42,26,25,混沌撕裂,8,2.6,18,monster_062,,false,混沌狼幼体,混沌纹|乱尾|紫眸|乱毛,紫眸竖瞳|混沌面,四足狼|毛乱,混沌紫/灰黑色调,小混/阿混,混沌紫+灰黑,幼体→成体,机灵|爱闹|话多
monster_062,混沌狼王,chaos,3,🌟,165,60,36,34,混沌裂斩,11,3.3,,,,false,混沌狼王,混沌冠|乱鬃|王纹|乱尾,紫眸竖瞳|王额纹,四足奔兽|鬃乱,混沌紫/灰白色调,混王/乱主,混沌紫+灰白,成体,混乱|霸气|话多
monster_063,混沌幼龙,chaos,3,🐉,155,58,32,22,混沌吐息,10,3.1,,,,false,混沌幼龙,混沌角|乱翼|龙须|乱鳞,紫眸圆瞳|混沌面,立龙展翅|鳞乱,混沌紫/灰黑色调,小混/乱龙,混沌紫+灰黑,成体,天真|爱闹|对乱过敏
monster_064,混沌巨龙,chaos,4,🌑,210,75,44,28,混沌灭世,14,3.9,,,,false,混沌巨龙,混沌冠|多尾|乱鳞|王纹,紫眸金瞳|王冠额,立龙展翅|尾乱,混沌紫/暗金色调,混帝/乱祖,混沌紫+暗金,成体,古老|独断|但公正
monster_065,混沌狐,chaos,2,🦊,92,44,16,36,混沌穿梭,7,2.5,18,monster_066,,false,混沌狐幼体,混沌纹|乱尾|紫眸|乱毛,紫眸大眼|粉鼻,四足狐|尾乱,混沌紫/粉灰色调,小混/小乱,混沌紫+粉灰,幼体→成体,机灵|爱闹|话多
monster_066,混沌妖狐,chaos,3,🔮,128,62,24,48,混沌幻舞,10,3.4,,,,false,混沌妖狐,九尾|混沌冠|乱纹|紫眸,紫眸竖瞳|妖纹面,坐立九尾|尾乱,混沌紫/暗紫色调,妖狐/混姬,混沌紫+暗紫,成体,妖媚|神秘|爱算
monster_067,光耀狼,light,2,🐺,120,42,28,26,光耀撕裂,8,2.6,18,monster_068,,false,光耀狼幼体,光纹|耀纹|光尾|金眸,金眸竖瞳|光纹面,四足狼|尾亮,光金/白色调,小光/光仔,光金+白,幼体→成体,机灵|爱跑|话多
monster_068,光耀狼王,light,3,🌟,170,62,38,35,光耀裂斩,11,3.3,,,,false,光耀狼王,光冠|耀鬃|王纹|光尾,金眸竖瞳|王额纹,四足奔兽|鬃亮,光金/白色调,光王/耀主,光金+白,成体,王者|护群|威严
monster_069,光耀幼龙,light,3,🐉,160,60,34,24,光耀吐息,10,3.2,,,,false,光耀幼龙,光角|耀翼|龙须|光鳞,金眸圆瞳|光纹面,立龙展翅|鳞亮,光金/白色调,小光/耀龙,光金+白,成体,天真|爱炫|对光过敏
monster_070,光耀巨龙,light,4,✨,215,78,46,30,光耀灭世,14,4.0,,,,false,光耀巨龙,光冠|多尾|光鳞|王纹,金眸金瞳|王冠额,立龙展翅|尾亮,光金/虹彩色调,光帝/耀祖,光金+虹彩,成体,古老|智慧|话少
monster_071,光耀狐,light,2,🦊,95,46,18,38,光耀穿梭,7,2.6,18,monster_072,,false,光耀狐幼体,光纹|耀纹|大尾|金眸,金眸大眼|粉鼻,四足狐|尾亮,光金/粉白色调,小光/小耀,光金+粉白,幼体→成体,机灵|爱玩|话多
monster_072,光耀妖狐,light,3,🔮,132,65,26,50,光耀幻舞,10,3.5,,,,false,光耀妖狐,九尾|光冠|耀纹|金眸,金眸竖瞳|妖纹面,坐立九尾|尾亮,光金/星紫色调,妖狐/光姬,光金+星紫,成体,妖媚|神秘|爱整蛊
monster_073,光耀战鹰,light,3,🦅,130,62,22,28,光耀翼斩,9,3.2,,,,false,光耀战鹰,光冠|羽扇翼|金爪|战纹,金眸锐眼|战纹面,立鹰展翅|翼展,光金/战红色调,战鹰/光哥,光金+战红,成体,战士|热血|爱冲
monster_074,光耀圣鹰,light,4,🕊️,180,80,32,36,圣光裁决,13,4.2,,,,false,光耀圣鹰,圣冠|羽翼|圣光|王纹,金眸锐眼|王冠额,立鹰展翅|翼展,光金/白色调,圣鹰/光帝,光金+白,成体,王者|威严|话少
monster_075,光耀守护者,light,3,🛡️,200,38,48,12,圣光护盾,8,2.2,,,,false,光耀守护者,盾|圣袍|光环|光剑,闭眼微笑|光环亮,立姿持盾|盾举,白/金/珠光色调,守护/光姐,白+金+珠光,成体,治愈系|话少|护友
monster_076,光耀巨灵,light,4,👼,270,50,65,16,神圣庇护,11,2.8,,,,false,光耀巨灵,圣冠|多翼|光袍|光环,闭眼温柔|光环亮,立姿展翼|翼扇,白/金/虹彩色调,巨灵/光祖,白+金+虹彩,成体,古老|智慧|话慢
monster_boss_001,花叶兽,grass,3,🌺,350,45,35,10,花瓣风暴,10,3.0,,,,true,,,,,,,,,
monster_boss_002,烈焰龙,fire,3,🐉,400,55,30,12,龙息烈焰,12,3.5,,,,true,,,,,,,,,
monster_boss_003,深海海马王,water,4,🦑,450,50,40,14,深渊漩涡,12,3.2,,,,true,,,,,,,,,
monster_boss_004,暗影巨龙,dark,4,🐲,530,55,45,16,暗影龙息,13,3.5,,,,true,,,,,,,,,
monster_boss_005,雷霆巨兽,thunder,4,⚡,600,58,48,18,雷霆裁决,14,3.8,,,,true,,,,,,,,,
monster_boss_006,冰霜巨龙,ice,4,🐲,700,60,55,12,绝对零度,15,4.0,,,,true,,,,,,,,,
monster_boss_007,虚空巨龙,void,5,🌑,750,65,50,14,虚空湮灭,15,4.2,,,,true,,,,,,,,,
monster_boss_008,时空巨龙,temporal,5,⏳,800,68,52,16,时空崩灭,16,4.5,,,,true,,,,,,,,,
monster_boss_009,星耀巨龙,star,5,✨,850,72,55,18,星辰湮灭,16,4.8,,,,true,,,,,,,,,
monster_boss_010,混沌兽神,chaos,5,🐲,900,75,58,20,混沌湮灭,16,5.0,,,,true,,,,,,,,,
monster_boss_011,光耀天使长,light,5,👼,950,80,62,22,神圣制裁,16,5.2,,,,true,,,,,,,,,
enemy_001,野火虫,fire,1,🐛,34,10,7,10,火星,5,1.5,,,,false,,,,,,,,,
enemy_002,水泡泡,water,1,🫧,38,10,7,8,水泡,5,1.5,,,,false,,,,,,,,,
enemy_003,草精灵,grass,1,🍃,32,10,7,12,叶刃,5,1.5,,,,false,,,,,,,,,
enemy_004,深海鱼,water,1,🐟,39,10,10,14,水弹,5,1.6,,,,false,,,,,,,,,
enemy_005,岩蜥,earth,1,🦎,35,10,10,8,石击,5,1.5,,,,false,,,,,,,,,
enemy_006,风蛾,wind,1,🦋,37,10,10,18,风切,5,1.7,,,,false,,,,,,,,,
enemy_007,暗蛛,dark,1,🕷️,41,10,10,20,暗袭,5,1.8,,,,false,,,,,,,,,
enemy_008,光蝇,light,1,✨,33,10,10,22,光刺,5,1.9,,,,false,,,,,,,,,
enemy_009,暗夜蝙蝠,dark,1,🦇,35,10,13,22,暗袭,5,1.8,,,,false,,,,,,,,,
enemy_010,暗毒蛛,dark,1,🕷️,41,10,13,10,毒咬,5,1.9,,,,false,,,,,,,,,
enemy_011,暗幽灵,dark,1,👻,36,10,13,25,穿体,5,2.0,,,,false,,,,,,,,,
enemy_012,雷球,thunder,1,⚡,42,10,17,18,电击,5,1.8,,,,false,,,,,,,,,
enemy_013,光球,light,1,✨,36,10,17,20,光刺,5,1.9,,,,false,,,,,,,,,
enemy_014,雷鹰,thunder,1,🦅,41,10,17,26,雷翼斩,5,2.0,,,,false,,,,,,,,,
enemy_015,光蝶,light,1,🦋,37,10,17,24,光翼,5,2.1,,,,false,,,,,,,,,
enemy_016,雷光元素,thunder,1,💡,39,10,17,22,元素雷电,5,2.2,,,,false,,,,,,,,,
enemy_017,冰晶怪,ice,1,💠,39,10,22,12,冰刺,5,1.7,,,,false,,,,,,,,,
enemy_018,霜雪狼,ice,1,🐺,45,10,22,20,霜咬,5,1.8,,,,false,,,,,,,,,
enemy_019,冰幽灵,ice,1,👻,42,10,22,24,穿体,5,1.9,,,,false,,,,,,,,,
enemy_020,极地熊,ice,1,🐻,39,10,22,10,冰掌,5,1.6,,,,false,,,,,,,,,
enemy_021,冰翼龙,ice,1,🐉,45,10,22,22,冰息,5,2.0,,,,false,,,,,,,,,
enemy_022,虚影,void,1,👤,47,10,28,18,虚袭,5,1.8,,,,false,,,,,,,,,
enemy_023,噬魂蛛,void,1,🕷️,45,10,28,12,魂咬,5,1.9,,,,false,,,,,,,,,
enemy_024,虚空幽灵,void,1,👻,50,10,28,24,穿魂,5,2.0,,,,false,,,,,,,,,
enemy_025,暗蚀兽,void,1,🐺,43,10,28,14,暗蚀,5,1.7,,,,false,,,,,,,,,
enemy_026,虚空元素,void,1,🌀,46,10,28,20,虚空弹,5,2.1,,,,false,,,,,,,,,
enemy_027,时空狼崽,temporal,1,🐺,51,11,35,18,时空爪,5,1.8,,,,false,,,,,,,,,
enemy_028,时空幽灵,temporal,1,👻,55,11,35,26,穿时,5,2.0,,,,false,,,,,,,,,
enemy_029,时空调律者,temporal,1,🕰️,49,11,34,14,时间扭曲,5,1.7,,,,false,,,,,,,,,
enemy_030,虚空噬时兽,temporal,1,🦎,57,11,36,20,时间啃噬,5,1.9,,,,false,,,,,,,,,
enemy_031,时空元素,temporal,1,🌀,52,11,35,22,时空弹,5,2.1,,,,false,,,,,,,,,
enemy_032,星耀狼崽,star,1,🐺,66,11,44,20,星爪,5,1.8,,,,false,,,,,,,,,
enemy_033,星耀幽灵,star,1,👻,58,11,42,28,穿星,5,2.0,,,,false,,,,,,,,,
enemy_034,星耀祭司,star,1,🕯️,63,11,43,16,星光祈福,5,1.8,,,,false,,,,,,,,,
enemy_035,星蚀兽,star,1,🦎,60,11,43,22,星蚀,5,2.0,,,,false,,,,,,,,,
